timestamp,record_id,product_type,region,usage_frequency,transaction_amount,account_age_days,support_tickets,signal_score,next_month_value
2025-01-01 00:00:00,REC-242-00000,L,Daejeon,14.7,15721.0,373.0,2,-0.396,37437.0
2025-01-01 01:00:00,REC-242-00001,H,Daejeon,14.18,21225.0,551.0,1,-0.685,35481.0
2025-01-01 02:00:00,REC-242-00002,L,Busan,10.03,42905.0,553.0,1,0.56,34707.0
2025-01-01 03:00:00,REC-242-00003,L,Seoul,8.62,12731.0,532.0,4,-0.345,17909.0
2025-01-01 04:00:00,REC-242-00004,M,Busan,10.0,15480.0,369.0,4,-0.649,14909.0
2025-01-01 05:00:00,REC-242-00005,L,Seoul,8.87,19451.0,679.0,2,-1.669,22406.0
2025-01-01 06:00:00,REC-242-00006,L,Seoul,15.67,21913.0,273.0,1,-0.775,35574.0
2025-01-01 07:00:00,REC-242-00007,M,Seoul,13.08,27827.0,741.0,1,-0.192,25796.0
2025-01-01 08:00:00,REC-242-00008,M,Daejeon,11.97,17566.0,339.0,1,-0.862,37529.0
2025-01-01 09:00:00,REC-242-00009,H,Daejeon,8.9,19522.0,634.0,2,0.438,25990.0
2025-01-01 10:00:00,REC-242-00010,L,Seoul,12.85,36514.0,181.0,1,0.178,38478.0
2025-01-01 11:00:00,REC-242-00011,L,Seoul,13.76,32693.0,651.0,1,-0.445,25966.0
2025-01-01 12:00:00,REC-242-00012,M,Busan,9.89,30500.0,509.0,1,-0.732,27609.0
2025-01-01 13:00:00,REC-242-00013,M,Seoul,8.86,20511.0,759.0,2,-0.275,22928.0
2025-01-01 14:00:00,REC-242-00014,H,Seoul,9.84,28108.0,630.0,3,1.603,19374.0
2025-01-01 15:00:00,REC-242-00015,L,Seoul,11.53,25698.0,214.0,0,0.016,31777.0
2025-01-01 16:00:00,REC-242-00016,M,Busan,6.05,40638.0,882.0,3,1.43,15941.0
2025-01-01 17:00:00,REC-242-00017,L,Seoul,10.51,30155.0,1533.0,0,1.587,18831.0
2025-01-01 18:00:00,REC-242-00018,L,Seoul,9.6,37007.0,1369.0,0,1.098,23794.0
2025-01-01 19:00:00,REC-242-00019,H,Seoul,17.17,14141.0,324.0,4,2.057,28706.0
2025-01-01 20:00:00,REC-242-00020,H,Seoul,15.13,22990.0,347.0,1,1.58,28516.0
2025-01-01 21:00:00,REC-242-00021,H,Seoul,14.64,23137.0,363.0,0,-1.551,32049.0
2025-01-01 22:00:00,REC-242-00022,L,Seoul,13.99,29103.0,385.0,1,0.493,23734.0
2025-01-01 23:00:00,REC-242-00023,H,Daejeon,14.28,34093.0,423.0,2,-0.601,49067.0
2025-01-02 00:00:00,REC-242-00024,H,Busan,14.54,28454.0,345.0,0,-0.561,31078.0
2025-01-02 01:00:00,REC-242-00025,H,Daejeon,10.77,52802.0,322.0,2,0.601,34476.0
2025-01-02 02:00:00,REC-242-00026,M,Busan,15.12,16215.0,459.0,2,0.186,37139.0
2025-01-02 03:00:00,REC-242-00027,L,Seoul,13.48,64879.0,1399.0,3,0.942,31988.0
2025-01-02 04:00:00,REC-242-00028,L,Seoul,15.03,34702.0,361.0,2,0.136,35494.0
2025-01-02 05:00:00,REC-242-00029,L,Busan,17.12,12783.0,1043.0,0,1.432,26507.0
2025-01-02 06:00:00,REC-242-00030,L,Daejeon,11.5,26532.0,670.0,2,0.805,23338.0
2025-01-02 07:00:00,REC-242-00031,L,Seoul,17.35,37501.0,528.0,4,0.879,31411.0
2025-01-02 08:00:00,REC-242-00032,M,Seoul,3.85,10156.0,318.0,0,1.13,11356.0
2025-01-02 09:00:00,REC-242-00033,L,Daejeon,12.25,20052.0,715.0,3,0.482,21457.0
2025-01-02 10:00:00,REC-242-00034,H,Seoul,14.07,24400.0,252.0,1,0.865,32705.0
2025-01-02 11:00:00,REC-242-00035,L,Seoul,13.03,24231.0,783.0,0,1.006,26458.0
2025-01-02 12:00:00,REC-242-00036,L,Daejeon,12.84,38428.0,410.0,2,-0.723,26828.0
2025-01-02 13:00:00,REC-242-00037,L,Seoul,10.22,24269.0,391.0,0,0.298,26959.0
2025-01-02 14:00:00,REC-242-00038,H,Busan,8.36,27064.0,693.0,0,1.17,18281.0
2025-01-02 15:00:00,REC-242-00039,L,Seoul,15.48,19271.0,494.0,2,-0.501,33093.0
2025-01-02 16:00:00,REC-242-00040,L,Seoul,12.94,12078.0,826.0,1,-0.721,21319.0
2025-01-02 17:00:00,REC-242-00041,L,Busan,11.19,34943.0,877.0,0,-1.345,32513.0
2025-01-02 18:00:00,REC-242-00042,L,Seoul,12.56,35600.0,340.0,2,-1.242,37946.0
2025-01-02 19:00:00,REC-242-00043,M,Seoul,8.86,24044.0,99.0,0,0.41,30521.0
2025-01-02 20:00:00,REC-242-00044,H,Busan,16.05,34073.0,930.0,3,-0.178,22376.0
2025-01-02 21:00:00,REC-242-00045,L,Seoul,11.37,18312.0,901.0,4,-0.001,21591.0
2025-01-02 22:00:00,REC-242-00046,H,Daejeon,9.57,44019.0,212.0,0,-0.733,41351.0
2025-01-02 23:00:00,REC-242-00047,M,Busan,12.62,31930.0,842.0,2,0.351,24533.0
2025-01-03 00:00:00,REC-242-00048,H,Busan,9.25,16927.0,1463.0,0,1.288,17100.0
2025-01-03 01:00:00,REC-242-00049,L,Busan,12.95,32080.0,369.0,0,1.057,21981.0
2025-01-03 02:00:00,REC-242-00050,M,Seoul,10.43,47927.0,700.0,4,0.945,23566.0
2025-01-03 03:00:00,REC-242-00051,M,Seoul,12.54,25553.0,584.0,2,-1.37,30743.0
2025-01-03 04:00:00,REC-242-00052,M,Daejeon,15.72,26108.0,740.0,3,0.102,37989.0
2025-01-03 05:00:00,REC-242-00053,L,Busan,13.88,19414.0,226.0,1,0.717,32916.0
2025-01-03 06:00:00,REC-242-00054,H,Seoul,20.41,27293.0,74.0,3,0.782,41953.0
2025-01-03 07:00:00,REC-242-00055,H,Seoul,7.58,30179.0,115.0,0,1.011,27424.0
2025-01-03 08:00:00,REC-242-00056,M,Seoul,13.31,27550.0,282.0,6,-0.638,43595.0
2025-01-03 09:00:00,REC-242-00057,H,Busan,9.19,30673.0,517.0,0,-0.137,33831.0
2025-01-03 10:00:00,REC-242-00058,M,Seoul,13.11,20504.0,731.0,2,0.45,25454.0
